star,star_url,nationality,image_url
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK,https://m.media-amazon.com/images/M/MV5BMTQ2MjgyNjk3MV5BMl5BanBnXkFtZTcwNTA3NTY5Mg@@._V1_.jpg
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK,https://m.media-amazon.com/images/M/MV5BMjE1MDkxMjQ3NV5BMl5BanBnXkFtZTcwMzQ3Mjc4MQ@@._V1_.jpg
John Travolta,https://www.imdb.com/name/nm0000237/,USA,https://m.media-amazon.com/images/M/MV5BMTMyMjZlYzgtZWRjMC00OTRmLTllZTktMmM1ODVmNjljMTQyXkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_.jpg
Uma Thurman,https://www.imdb.com/name/nm0000235/,USA,https://m.media-amazon.com/images/M/MV5BMjMxNzk1MTQyMl5BMl5BanBnXkFtZTgwMDIzMDEyMTE@._V1_.jpg
Samuel L. Jackson,https://www.imdb.com/name/nm0000168/,USA,https://m.media-amazon.com/images/M/MV5BMTQ1NTQwMTYxNl5BMl5BanBnXkFtZTYwMjA1MzY1._V1_.jpg
Bruce Willis,https://www.imdb.com/name/nm0000246/,Germany,https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_.jpg
Elijah Wood,https://www.imdb.com/name/nm0000704/,USA,https://m.media-amazon.com/images/M/MV5BMTM0NDIxMzQ5OF5BMl5BanBnXkFtZTcwNzAyNTA4Nw@@._V1_.jpg
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK,https://m.media-amazon.com/images/M/MV5BMTQ2MjgyNjk3MV5BMl5BanBnXkFtZTcwNTA3NTY5Mg@@._V1_.jpg
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK,https://m.media-amazon.com/images/M/MV5BMjE1MDkxMjQ3NV5BMl5BanBnXkFtZTcwMzQ3Mjc4MQ@@._V1_.jpg
Sean Bean,https://www.imdb.com/name/nm0000293/,UK,https://m.media-amazon.com/images/M/MV5BMTkzMzc4MDk5OF5BMl5BanBnXkFtZTcwODg3MjUxNw@@._V1_.jpg
Clint Eastwood,https://www.imdb.com/name/nm0000142/,USA,https://m.media-amazon.com/images/M/MV5BMTg3MDc0MjY0OV5BMl5BanBnXkFtZTcwNzU1MDAxOA@@._V1_.jpg
Eli Wallach,https://www.imdb.com/name/nm0908919/,USA,https://m.media-amazon.com/images/M/MV5BNjk1NzcyZTItMjZkOC00MjM2LThiYWUtZDE5NGZlZDliYmViXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
Lee Van Cleef,https://www.imdb.com/name/nm0001812/,USA,https://m.media-amazon.com/images/M/MV5BMTY0ODU1NjY5N15BMl5BanBnXkFtZTcwNTI0NzEyMw@@._V1_.jpg
Aldo Giuffrè,https://www.imdb.com/name/nm0321294/,Italy,https://m.media-amazon.com/images/M/MV5BNTBhYjI5NmEtMjc4OS00YTM4LWE2NTEtOGEwYzNmOGNmOGI0XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA,https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_.jpg
Robin Wright,https://www.imdb.com/name/nm0000705/,USA,https://m.media-amazon.com/images/M/MV5BMTU0NTc4MzEyOV5BMl5BanBnXkFtZTcwODY0ODkzMQ@@._V1_.jpg
Gary Sinise,https://www.imdb.com/name/nm0000641/,USA,https://m.media-amazon.com/images/M/MV5BMzE4NzcyMzU3OV5BMl5BanBnXkFtZTYwOTM2NDE2._V1_.jpg
Sally Field,https://www.imdb.com/name/nm0000398/,USA,https://m.media-amazon.com/images/M/MV5BMTQwOTMyMDI4MV5BMl5BanBnXkFtZTcwMDYzMTM5OA@@._V1_.jpg
Brad Pitt,https://www.imdb.com/name/nm0000093,USA,https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_.jpg
Edward Norton,https://www.imdb.com/name/nm0001570,USA,https://m.media-amazon.com/images/M/MV5BMTYwNjQ5MTI1NF5BMl5BanBnXkFtZTcwMzU5MTI2Mw@@._V1_.jpg
Meat Loaf,https://www.imdb.com/name/nm0001533,USA,https://m.media-amazon.com/images/M/MV5BMTIzNTQ4MjYyOV5BMl5BanBnXkFtZTcwNzgwNTEzMg@@._V1_.jpg
Elijah Wood,https://www.imdb.com/name/nm0000704/,USA,https://m.media-amazon.com/images/M/MV5BMTM0NDIxMzQ5OF5BMl5BanBnXkFtZTcwNzAyNTA4Nw@@._V1_.jpg
Ian McKellen,https://www.imdb.com/name/nm0005212/,UK,https://m.media-amazon.com/images/M/MV5BMTQ2MjgyNjk3MV5BMl5BanBnXkFtZTcwNTA3NTY5Mg@@._V1_.jpg
Viggo Mortensen,https://www.imdb.com/name/nm0001557/,USA,https://m.media-amazon.com/images/M/MV5BNDQzOTg4NzA2Nl5BMl5BanBnXkFtZTcwMzkwNjkxMg@@._V1_.jpg
Orlando Bloom,https://www.imdb.com/name/nm0089217/,UK,https://m.media-amazon.com/images/M/MV5BMjE1MDkxMjQ3NV5BMl5BanBnXkFtZTcwMzQ3Mjc4MQ@@._V1_.jpg
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA,https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg
Joseph Gordon-Levitt,https://www.imdb.com/name/nm0330687/,USA,https://m.media-amazon.com/images/M/MV5BMTY3NTk0NDI3Ml5BMl5BanBnXkFtZTgwNDA3NjY0MjE@._V1_.jpg
Elliot Page,https://www.imdb.com/name/nm0680983/,Canada,https://m.media-amazon.com/images/M/MV5BNmNhZmFjM2ItNTlkNi00ZTQ4LTk3NzYtYTgwNTJiMTg4OWQzXkEyXkFqcGdeQXVyMTM1MjAxMDc3._V1_.jpg
Ken Watanabe,https://www.imdb.com/name/nm0913822/,Japan,https://m.media-amazon.com/images/M/MV5BMTQzMTUzNjc4Nl5BMl5BanBnXkFtZTcwMTUyODU2Mw@@._V1_.jpg
Mark Hamill,https://www.imdb.com/name/nm0000434/,USA,https://m.media-amazon.com/images/M/MV5BOGY2MjI5MDQtOThmMC00ZGIwLWFmYjgtYWU4MzcxOGEwMGVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg
Harrison Ford,https://www.imdb.com/name/nm0000148/,USA,https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_.jpg
Carrie Fisher,https://www.imdb.com/name/nm0000402/,USA,https://m.media-amazon.com/images/M/MV5BMjM4ODU5MDY4MV5BMl5BanBnXkFtZTgwODY1MjQ5MDI@._V1_.jpg
Billy Dee Williams,https://www.imdb.com/name/nm0001850/,USA,https://m.media-amazon.com/images/M/MV5BNDI4MDQ2NTUzNV5BMl5BanBnXkFtZTYwNjA4NzUz._V1_.jpg
Keanu Reeves,https://www.imdb.com/name/nm0000206/,Lebanon,https://m.media-amazon.com/images/M/MV5BNGJmMWEzOGQtMWZkNS00MGNiLTk5NGEtYzg1YzAyZTgzZTZmXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_.jpg
Laurence Fishburne,https://www.imdb.com/name/nm0000401/,USA,https://m.media-amazon.com/images/M/MV5BMTc0NjczNDc1MV5BMl5BanBnXkFtZTYwMDU0Mjg1._V1_.jpg
Carrie-Anne Moss,https://www.imdb.com/name/nm0005251/,Canada,https://m.media-amazon.com/images/M/MV5BMTYxMjgwNzEwOF5BMl5BanBnXkFtZTcwNTQ0NzI5Ng@@._V1_.jpg
Hugo Weaving,https://www.imdb.com/name/nm0915989/,Nigeria,https://m.media-amazon.com/images/M/MV5BMjAxMzAyNDQyMF5BMl5BanBnXkFtZTcwOTM4ODcxMw@@._V1_.jpg
Robert De Niro,https://www.imdb.com/name/nm0000134/,USA,https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_.jpg
Ray Liotta,https://www.imdb.com/name/nm0000501/,USA,https://m.media-amazon.com/images/M/MV5BMTU3NzM5MjUwMF5BMl5BanBnXkFtZTYwNDM2NDky._V1_.jpg
Joe Pesci,https://www.imdb.com/name/nm0000582/,USA,https://m.media-amazon.com/images/M/MV5BMzc3MTcxNDYxNV5BMl5BanBnXkFtZTcwOTI3NjE1Mw@@._V1_.jpg
Lorraine Bracco,https://www.imdb.com/name/nm0000966/,USA,https://m.media-amazon.com/images/M/MV5BMzU0NTc3OTExOF5BMl5BanBnXkFtZTcwMjM0MjcxNQ@@._V1_.jpg
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA,https://m.media-amazon.com/images/M/MV5BMTQ3OTY0ODk0M15BMl5BanBnXkFtZTYwNzE4Njc4._V1_.jpg
Louise Fletcher,https://www.imdb.com/name/nm0001221/,USA,https://m.media-amazon.com/images/M/MV5BMTIzOTcwNzYzMl5BMl5BanBnXkFtZTYwMjQ3MTI0._V1_.jpg
Michael Berryman,https://www.imdb.com/name/nm0077720/,USA,https://m.media-amazon.com/images/M/MV5BMTc0OTA0MTAwM15BMl5BanBnXkFtZTcwOTQ3MDQ4NA@@._V1_.jpg
Morgan Freeman,https://www.imdb.com/name/nm0000151/,USA,https://m.media-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_.jpg
Brad Pitt,https://www.imdb.com/name/nm0000093/,USA,https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_.jpg
Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA,N/A
Andrew Kevin Walker,https://www.imdb.com/name/nm0001825/,USA,https://m.media-amazon.com/images/M/MV5BZTU1OGUyYTktZjgxNi00MDMyLTkyZGYtMWQ2OTg2N2U1OWRkXkEyXkFqcGdeQXVyODYzNDkyMDA@._V1_.jpg
Toshirô Mifune,https://www.imdb.com/name/nm0001536/,🇨🇳,https://m.media-amazon.com/images/M/MV5BMTM3NzE2MzEyNF5BMl5BanBnXkFtZTcwNzA5MTU4Mw@@._V1_.jpg
Takashi Shimura,https://www.imdb.com/name/nm0793766/,Japan,https://m.media-amazon.com/images/M/MV5BMTUyNjY0ODYyMV5BMl5BanBnXkFtZTcwMDg0MTc4Ng@@._V1_.jpg
Keiko Tsushima,https://www.imdb.com/name/nm0875477/,Japan,https://m.media-amazon.com/images/M/MV5BMmE4ZmVhZmYtOGY5ZS00N2JiLThlZjgtNmU3NDBkMWRjOGYzXkEyXkFqcGdeQXVyMTI3MDk3MzQ@._V1_.jpg
Yukiko Shimazaki,https://www.imdb.com/name/nm0793616/,Japan,N/A
James Stewart,https://www.imdb.com/name/nm0000071/,USA,https://m.media-amazon.com/images/M/MV5BMjIwNzMzODY0NV5BMl5BanBnXkFtZTcwMDk3NDQyOA@@._V1_.jpg
Donna Reed,https://www.imdb.com/name/nm0001656/,USA,https://m.media-amazon.com/images/M/MV5BZDVlZWNhODQtYzUwMS00MWQ4LWIyMjUtYTU0M2E2ODYwM2VkXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
Lionel Barrymore,https://www.imdb.com/name/nm0000859/,USA,https://m.media-amazon.com/images/M/MV5BMTc5NzY5MTgwNV5BMl5BanBnXkFtZTYwMjc4NjQ2._V1_.jpg
Thomas Mitchell,https://www.imdb.com/name/nm0593775/,USA,N/A
Jodie Foster,https://www.imdb.com/name/nm0000149/,USA,https://m.media-amazon.com/images/M/MV5BMTM3MjgyOTQwNF5BMl5BanBnXkFtZTcwMDczMzEwNA@@._V1_.jpg
Anthony Hopkins,https://www.imdb.com/name/nm0000164/,UK,https://m.media-amazon.com/images/M/MV5BMTg5ODk1NTc5Ml5BMl5BanBnXkFtZTYwMjAwOTI4._V1_.jpg
Lawrence A. Bonney,https://www.imdb.com/name/nm0095029/,NA,N/A
Kasi Lemmons,https://www.imdb.com/name/nm0501435/,USA,https://m.media-amazon.com/images/M/MV5BMjExMTM1NzI3MF5BMl5BanBnXkFtZTYwMTkzNjc4._V1_.jpg
Alexandre Rodrigues,https://www.imdb.com/name/nm1179105/,Brazil,https://m.media-amazon.com/images/M/MV5BMTc5MzkzNzk5MV5BMl5BanBnXkFtZTcwMjc4MTE5Ng@@._V1_.jpg
Leandro Firmino,https://www.imdb.com/name/nm1129884/,Brazil,https://m.media-amazon.com/images/M/MV5BMTQ5MjM3ODIyM15BMl5BanBnXkFtZTcwNTMzNDY3Mw@@._V1_.jpg
Matheus Nachtergaele,https://www.imdb.com/name/nm0618690/,Brazil,N/A
Phellipe Haagensen,https://www.imdb.com/name/nm1249574/,Brazil,N/A
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA,https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_.jpg
Matt Damon,https://www.imdb.com/name/nm0000354/,USA,https://m.media-amazon.com/images/M/MV5BMTM0NzYzNDgxMl5BMl5BanBnXkFtZTcwMDg2MTMyMw@@._V1_.jpg
Tom Sizemore,https://www.imdb.com/name/nm0001744/,USA,https://m.media-amazon.com/images/M/MV5BNjA3NjA0MzIwOV5BMl5BanBnXkFtZTYwNzk5NDE1._V1_.jpg
Edward Burns,https://www.imdb.com/name/nm0122653/,USA,https://m.media-amazon.com/images/M/MV5BMTY1MTU0NjIyMl5BMl5BanBnXkFtZTcwODc3OTc1MQ@@._V1_.jpg
Matthew McConaughey,https://www.imdb.com/name/nm0000190/,USA,https://m.media-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@._V1_.jpg
Anne Hathaway,https://www.imdb.com/name/nm0004266/,USA,https://m.media-amazon.com/images/M/MV5BMTRhNzQ3NGMtZmQ1Mi00ZTViLTk3OTgtOTk0YzE2YTgwMmFjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_.jpg
Jessica Chastain,https://www.imdb.com/name/nm1567113/,USA,https://m.media-amazon.com/images/M/MV5BMTU1MDM5NjczOF5BMl5BanBnXkFtZTcwOTY2MDE4OA@@._V1_.jpg
Mackenzie Foy,https://www.imdb.com/name/nm3237775/,USA,https://m.media-amazon.com/images/M/MV5BYzg2YjllNDUtNGMwNy00NzYzLTlkMWQtMTc3ZWI4NDI5N2U2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
Roberto Benigni,https://www.imdb.com/name/nm0000905/,Italy,https://m.media-amazon.com/images/M/MV5BMTUwMzI1Nzg5NF5BMl5BanBnXkFtZTYwODU5NjYz._V1_.jpg
Nicoletta Braschi,https://www.imdb.com/name/nm0000971/,Italy,https://m.media-amazon.com/images/M/MV5BMTcyMjUxNzMzOF5BMl5BanBnXkFtZTYwMzM1NDM3._V1_.jpg
Giorgio Cantarini,https://www.imdb.com/name/nm0134493/,Italy,https://m.media-amazon.com/images/M/MV5BYjdhNTFiYTYtOGE4Ni00NTVjLTlhMGYtYThhNzAxZjUxMmM5XkEyXkFqcGdeQXVyNDM4Nzc5NzY@._V1_.jpg
Giustino Durano,https://www.imdb.com/name/nm0243842/,Italy,https://m.media-amazon.com/images/M/MV5BYzQyMDA4YWUtYjMzNi00MTk4LThlOTYtZjdhYTRjYzliYTg4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzAwOTU1MTk@._V1_.jpg
Tom Hanks,https://www.imdb.com/name/nm0000158/,USA,https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_.jpg
Michael Clarke Duncan,https://www.imdb.com/name/nm0003817/,USA,https://m.media-amazon.com/images/M/MV5BMTI3NDY2ODk5OV5BMl5BanBnXkFtZTYwMjQ0NzE0._V1_.jpg
David Morse,https://www.imdb.com/name/nm0001556/,USA,https://m.media-amazon.com/images/M/MV5BMTgwNjUzOTE1N15BMl5BanBnXkFtZTYwNTU4NDQ0._V1_.jpg
Bonnie Hunt,https://www.imdb.com/name/nm0001372/,USA,https://m.media-amazon.com/images/M/MV5BZDk3M2Y3ZWUtOTYwOC00MGMyLWJmNzgtZWE5YTFiNjM0YWQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
Stars Mark Hamil,https://www.imdb.com/name/nm0000434/,USA,https://m.media-amazon.com/images/M/MV5BOGY2MjI5MDQtOThmMC00ZGIwLWFmYjgtYWU4MzcxOGEwMGVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg
lGarrick Hagon,https://www.imdb.com/name/nm0353796/,UK,https://m.media-amazon.com/images/M/MV5BMjA4Njk1ODY5OF5BMl5BanBnXkFtZTgwODcxNzAzMTE@._V1_.jpg
Anthony Forrest,https://www.imdb.com/name/nm0286599,UK,https://m.media-amazon.com/images/M/MV5BYTZiN2Q2NGItOGQ2My00YzQzLWEyMWMtYjU0YTAzN2Y2NmZlXkEyXkFqcGdeQXVyMTUxMzQwNTc@._V1_.jpg
Arnold Schwarzenegger,https://www.imdb.com/name/nm0000216/,Austria,https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_.jpg
Linda Hamilton,https://www.imdb.com/name/nm0000157/,USA,https://m.media-amazon.com/images/M/MV5BN2NiY2M2YmMtMjQ3ZS00YjUyLWFkMmItNmUzNGQ2MjZlNDRhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_.jpg
Edward Furlong,https://www.imdb.com/name/nm0000411/,USA,https://m.media-amazon.com/images/M/MV5BMTI1MzgxODkyMl5BMl5BanBnXkFtZTcwNTc1NDIzMQ@@._V1_.jpg
Robert Patrick,https://www.imdb.com/name/nm0001598/,USA,https://m.media-amazon.com/images/M/MV5BMTYzMzg5OTU4M15BMl5BanBnXkFtZTgwNDIzMTQxNjM@._V1_.jpg
Michael J. Fox,https://www.imdb.com/name/nm0000150/,Canada,https://m.media-amazon.com/images/M/MV5BMTcwNzM0MjE4NF5BMl5BanBnXkFtZTcwMDkxMzEwMw@@._V1_.jpg
Christopher Lloyd,https://www.imdb.com/name/nm0000502/,USA,https://m.media-amazon.com/images/M/MV5BMTkxNzQ0ODgxOV5BMl5BanBnXkFtZTcwMTAxMDY0Mg@@._V1_.jpg
Lea Thompson,https://www.imdb.com/name/nm0000670/,USA,https://m.media-amazon.com/images/M/MV5BNDk3NGRkN2QtMmRiMy00OGRlLTk1M2ItYTc5NTdlYmViNDQ5XkEyXkFqcGdeQXVyMjA3MjIzMDA@._V1_.jpg
Crispin Glover,https://www.imdb.com/name/nm0000417/,USA,https://m.media-amazon.com/images/M/MV5BNjNjMzg2YWEtOTY4Ny00MDJiLTg1NWYtOGI5NmU2ZTE5OTI4XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
Daveigh Chase,https://www.imdb.com/name/nm0153738/,USA,https://m.media-amazon.com/images/M/MV5BMTcyMDAyMjA4NF5BMl5BanBnXkFtZTcwNjg1ODkzMg@@._V1_.jpg
Suzanne Pleshette,https://www.imdb.com/name/nm0687189/,USA,https://m.media-amazon.com/images/M/MV5BMTU0NzkwMjA3N15BMl5BanBnXkFtZTYwNDkwNTgy._V1_.jpg
Miyu Irino,https://www.imdb.com/name/nm0997115/,Japan,https://m.media-amazon.com/images/M/MV5BZjA4M2Q5NDItN2FjNi00NTg3LWE3MTEtOWM0NDJmODk1YjQwXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_.jpg
Rumi Hiiragi,https://www.imdb.com/name/nm0383708/,Japan,https://m.media-amazon.com/images/M/MV5BMjdmMzRhODYtMWI1OC00MjlmLWI3ZDktZjc4ZDlhNjQxNmY1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg
Adrien Brody,https://www.imdb.com/name/nm0004778/,USA,https://m.media-amazon.com/images/M/MV5BMjI3ODkxMjU3OF5BMl5BanBnXkFtZTgwMTk2Njk3MTE@._V1_.jpg
Thomas Kretschmann,https://www.imdb.com/name/nm0470981/,Germany,https://m.media-amazon.com/images/M/MV5BMTY1Njc5MzE1OF5BMl5BanBnXkFtZTcwMTc1NDM4Nw@@._V1_.jpg
Frank Finlay,https://www.imdb.com/name/nm0277975/,UK,https://m.media-amazon.com/images/M/MV5BMTM1MTc1MzExOV5BMl5BanBnXkFtZTcwNDI5MDkwOA@@._V1_.jpg
Emilia Fox,https://www.imdb.com/name/nm0288976/,UK,https://m.media-amazon.com/images/M/MV5BMzMyMjcyNzA2Ml5BMl5BanBnXkFtZTcwNTM0MTA0MQ@@._V1_.jpg
Anthony Perkins,https://www.imdb.com/name/nm0000578/,USA,https://m.media-amazon.com/images/M/MV5BMTIzMTUyMTYxM15BMl5BanBnXkFtZTYwNzE5OTI2._V1_.jpg
Janet Leigh,https://www.imdb.com/name/nm0001463/,USA,https://m.media-amazon.com/images/M/MV5BMjU3MjY5OTE0MF5BMl5BanBnXkFtZTYwMzUyMDY2._V1_.jpg
Vera Miles,https://www.imdb.com/name/nm0587256/,USA,https://m.media-amazon.com/images/M/MV5BMTgwOTY2MTk4MF5BMl5BanBnXkFtZTcwMTAwNjYwNA@@._V1_.jpg
John Gavin,https://www.imdb.com/name/nm0001260/,USA,https://m.media-amazon.com/images/M/MV5BMTYzMDUwMDM0MV5BMl5BanBnXkFtZTYwNzE4MjM2._V1_.jpg
Song Kang-ho,https://www.imdb.com/name/nm0814280/,South Korea,https://m.media-amazon.com/images/M/MV5BYjYyYzcyZTAtY2I4Yy00NGE2LThiNzYtYmVjNGIyNWU2YjVkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_.jpg
Lee Sun-kyun,https://www.imdb.com/name/nm1310525/,South Korea,https://m.media-amazon.com/images/M/MV5BZWNhYTI0OTctODExYi00MDAyLWI3ZmEtNGYwMmJiMjhhOGU4XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_.jpg
Cho Yeo-jeong,https://www.imdb.com/name/nm1856097/,South Korea,https://m.media-amazon.com/images/M/MV5BYzI3YWY1MjQtZDhmMC00MWFlLTk3NWYtMzU3MDYxNTcxZmUwXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_.jpg
